True clone	Inf clone	GE	Annotation
#Clo24	#Clo26	1	Initial
#Clo26	#Clo26	0	Initial
#Clo27	#Clo29	1	Initial
#Clo20	#Clo18	1	Initial
#Clo22	#Clo22	0	Initial
#Clo23	#Clo23	1	Initial
#Clo29	#Clo29	0	Initial
#Clo40	#Clo40	0	Initial
#Clo8	#Clo10	0	Initial
#Clo13	#Clo13	1	Initial
#Clo12	#Clo36	1	Initial
#Clo10	#Clo10	1	Initial
#Clo38	#Clo38	0	Initial
#Clo15	#Clo17	1	Initial
#Clo17	#Clo17	0	Initial
#Clo32	#Clo34	0	Initial
#Clo31	#Clo29	1	Initial
#Clo36	#Clo36	0	Initial
#Clo35	#Clo35	0	Initial
#Clo34	#Clo36	1	Initial
#Clo18	#Clo18	1	Initial
