True clone	Inf clone	GE	Annotation
#Clo29	#Clo29	0	Initial
#Clo24	#Clo22	1	Initial
#Clo26	#Clo22	1	Initial
#Clo21	#Clo19	2	Initial
#Clo48	#Clo48	0	Initial
#Clo43	#Clo43	0	Initial
#Clo41	#Clo41	0	Initial
#Clo9	#Clo11	0	Initial
#Clo8	#Clo8	0	Initial
#Clo28	#Clo22	0	Initial
#Clo14	#Clo12	0	Initial
#Clo11	#Clo11	2	Initial
#Clo39	#Clo35	2	Initial
#Clo12	#Clo12	1	Initial
#Clo22	#Clo22	1	Initial
#Clo17	#Clo19	0	Initial
#Clo16	#Clo16	0	Initial
#Clo19	#Clo19	1	Initial
#Clo32	#Clo34	0	Initial
#Clo30	#Clo30	1	Initial
#Clo37	#Clo35	2	Initial
#Clo35	#Clo35	2	Initial
#Clo34	#Clo34	1	Initial
